loan_id,customer_id,product_id,branch_id,application_date,approval_date,disbursement_date,loan_amount,interest_rate,tenure_months,loan_status
L0000619,C000077,LP004,BR002,2022-04-22,2022-05-01,2022-05-06,755359,16.0,90,ACTIVE
L0000620,C000489,LP003,BR010,2026-08-07,2026-08-13,2026-08-18,590457,8.5,132,ACTIVE
L0000621,C000934,LP004,BR002,2023-08-24,2023-09-02,2023-09-06,1303692,16.0,105,ACTIVE
L0000622,C000563,LP005,BR004,2023-11-28,2023-12-05,2023-12-08,856997,12.0,21,ACTIVE
L0000623,C000617,LP003,BR003,2025-03-05,2025-03-08,2025-03-09,3050731,8.5,198,DEFAULT
L0000624,C000723,LP001,BR006,2025-01-03,2025-01-08,2025-01-09,379934,14.5,42,DEFAULT
L0000625,C000040,LP005,BR003,2025-07-18,2025-07-21,2025-07-26,74127,12.0,33,ACTIVE
L0000626,C000763,LP002,BR006,2025-02-23,2025-03-05,2025-03-06,701496,10.5,74,ACTIVE
L0000627,C000540,LP001,BR010,2025-05-23,2025-05-26,2025-05-31,90297,14.5,29,ACTIVE
L0000628,C000680,LP001,BR004,2024-05-26,2024-05-29,2024-06-03,197310,14.5,29,ACTIVE
L0000629,C000297,LP004,BR001,2021-11-07,2021-11-08,2021-11-09,1366305,16.0,34,DEFAULT
L0000630,C000982,LP005,BR006,2025-01-08,2025-01-11,2025-01-15,407728,12.0,17,ACTIVE
L0000631,C000858,LP003,BR001,2022-09-18,2022-09-22,2022-09-26,2016737,8.5,216,DEFAULT
L0000632,C000939,LP004,BR001,2026-04-04,2026-04-05,2026-04-08,277002,16.0,30,DEFAULT
L0000633,C000655,LP004,BR008,2021-10-04,2021-10-07,2021-10-11,1678654,16.0,64,ACTIVE
L0000634,C000525,LP005,BR002,2022-03-31,2022-04-04,2022-04-08,781265,12.0,32,CLOSED
L0000635,C000987,LP002,BR007,2022-02-04,2022-02-08,2022-02-13,823676,10.5,18,ACTIVE
L0000636,C000944,LP001,BR006,2022-04-29,2022-05-01,2022-05-02,137870,14.5,41,ACTIVE
L0000637,C000631,LP001,BR005,2024-10-01,2024-10-09,2024-10-12,299700,14.5,59,DEFAULT
L0000638,C000633,LP001,BR010,2025-12-26,2025-12-30,2026-01-03,408356,14.5,57,ACTIVE
L0000639,C000519,LP003,BR001,2022-08-11,2022-08-19,2022-08-22,1717605,8.5,147,ACTIVE
L0000640,C000251,LP003,BR004,2024-03-04,2024-03-05,2024-03-08,4264980,8.5,109,ACTIVE
L0000641,C000180,LP004,BR002,2024-04-09,2024-04-18,2024-04-19,304187,16.0,80,ACTIVE
L0000642,C000033,LP004,BR002,2022-06-11,2022-06-18,2022-06-23,1467481,16.0,46,ACTIVE
L0000643,C000025,LP004,BR008,2024-02-07,2024-02-12,2024-02-15,1782579,16.0,24,ACTIVE
L0000644,C000350,LP002,BR009,2025-06-06,2025-06-16,2025-06-20,1067014,10.5,42,DEFAULT
L0000645,C000151,LP002,BR008,2024-12-14,2024-12-18,2024-12-23,807592,10.5,35,ACTIVE
L0000646,C000089,LP002,BR008,2025-01-25,2025-02-03,2025-02-04,117775,10.5,20,ACTIVE
L0000647,C000482,LP001,BR005,2021-12-20,2021-12-27,2021-12-28,325389,14.5,18,ACTIVE
L0000648,C000896,LP003,BR004,2025-09-27,2025-10-03,2025-10-05,2876467,8.5,76,CLOSED
L0000649,C000199,LP005,BR006,2023-01-14,2023-01-15,2023-01-16,669485,12.0,14,ACTIVE
L0000650,C000124,LP004,BR009,2026-03-31,2026-04-10,2026-04-12,1357001,16.0,93,ACTIVE
L0000651,C000545,LP004,BR008,2023-07-31,2023-08-02,2023-08-03,1896086,16.0,89,CLOSED
L0000652,C000541,LP004,BR002,2022-11-13,2022-11-20,2022-11-25,1784432,16.0,35,ACTIVE
L0000653,C000617,LP005,BR003,2025-01-12,2025-01-15,2025-01-18,328877,12.0,26,ACTIVE
L0000654,C000499,LP002,BR005,2026-05-08,2026-05-16,2026-05-19,995449,10.5,53,ACTIVE
L0000655,C000608,LP002,BR010,2024-03-20,2024-03-23,2024-03-24,681513,10.5,19,ACTIVE
L0000656,C000212,LP001,BR006,2022-12-07,2022-12-14,2022-12-17,81488,14.5,28,ACTIVE
L0000657,C000881,LP002,BR009,2024-03-30,2024-04-02,2024-04-06,245539,10.5,74,CLOSED
L0000658,C000864,LP004,BR009,2024-11-18,2024-11-28,2024-12-02,474220,16.0,94,ACTIVE
L0000659,C000544,LP001,BR007,2021-10-20,2021-10-22,2021-10-24,333446,14.5,39,CLOSED
L0000660,C000297,LP005,BR005,2026-06-01,2026-06-11,2026-06-12,976940,12.0,26,ACTIVE
L0000661,C000927,LP001,BR003,2026-06-06,2026-06-08,2026-06-09,88230,14.5,16,DEFAULT
L0000662,C000251,LP001,BR002,2022-11-29,2022-12-04,2022-12-08,59838,14.5,43,CLOSED
L0000663,C000075,LP004,BR006,2022-10-03,2022-10-04,2022-10-05,1493779,16.0,61,ACTIVE
L0000664,C000381,LP001,BR004,2022-01-23,2022-01-26,2022-01-29,255169,14.5,48,ACTIVE
L0000665,C000935,LP003,BR002,2021-10-01,2021-10-10,2021-10-14,4510924,8.5,123,ACTIVE
L0000666,C000260,LP003,BR002,2026-07-31,2026-08-02,2026-08-07,2394540,8.5,12,ACTIVE
L0000667,C000986,LP005,BR001,2025-01-22,2025-01-30,2025-01-31,614798,12.0,29,ACTIVE
L0000668,C000901,LP004,BR001,2026-04-11,2026-04-17,2026-04-20,940150,16.0,19,ACTIVE
L0000669,C000467,LP003,BR002,2026-05-14,2026-05-20,2026-05-25,3352653,8.5,32,ACTIVE
L0000670,C000687,LP004,BR007,2022-06-07,2022-06-12,2022-06-14,470395,16.0,82,ACTIVE
L0000671,C000234,LP003,BR009,2024-04-19,2024-04-26,2024-04-28,3007106,8.5,190,ACTIVE
L0000672,C000945,LP003,BR010,2023-06-30,2023-07-02,2023-07-05,4581087,8.5,33,ACTIVE
L0000673,C000218,LP005,BR003,2024-08-19,2024-08-23,2024-08-25,57432,12.0,18,ACTIVE
L0000674,C000917,LP005,BR005,2023-07-05,2023-07-15,2023-07-17,532997,12.0,24,ACTIVE
L0000675,C000390,LP002,BR007,2025-03-21,2025-03-30,2025-04-02,1147913,10.5,80,ACTIVE
L0000676,C000747,LP002,BR008,2026-01-25,2026-01-26,2026-01-27,811532,10.5,19,ACTIVE
L0000677,C000116,LP003,BR004,2022-12-02,2022-12-03,2022-12-07,1491425,8.5,66,DEFAULT
L0000678,C000512,LP002,BR010,2023-01-29,2023-02-06,2023-02-11,412378,10.5,41,ACTIVE
L0000679,C000220,LP004,BR001,2023-04-10,2023-04-11,2023-04-13,1125286,16.0,95,ACTIVE
L0000680,C000427,LP002,BR005,2023-08-02,2023-08-10,2023-08-15,196053,10.5,43,CLOSED
L0000681,C000894,LP004,BR009,2023-11-10,2023-11-11,2023-11-13,1426787,16.0,18,ACTIVE
L0000682,C000801,LP003,BR006,2023-05-12,2023-05-14,2023-05-18,1931846,8.5,225,DEFAULT
L0000683,C000357,LP002,BR008,2022-09-07,2022-09-09,2022-09-10,339452,10.5,75,DEFAULT
L0000684,C000613,LP002,BR004,2023-04-02,2023-04-12,2023-04-14,232351,10.5,37,ACTIVE
L0000685,C000169,LP005,BR006,2026-07-14,2026-07-20,2026-07-24,359984,12.0,15,DEFAULT
L0000686,C000315,LP004,BR004,2022-03-03,2022-03-12,2022-03-14,774422,16.0,119,CLOSED
L0000687,C000683,LP001,BR006,2026-05-18,2026-05-19,2026-05-24,140936,14.5,33,ACTIVE
L0000688,C000096,LP001,BR007,2025-08-19,2025-08-21,2025-08-24,124048,14.5,60,ACTIVE
L0000689,C000474,LP005,BR010,2026-05-20,2026-05-23,2026-05-26,600290,12.0,17,ACTIVE
L0000690,C000348,LP004,BR004,2022-05-01,2022-05-05,2022-05-10,185351,16.0,29,ACTIVE
L0000691,C000850,LP001,BR009,2024-03-07,2024-03-17,2024-03-21,457718,14.5,22,ACTIVE
L0000692,C000099,LP005,BR009,2022-04-13,2022-04-21,2022-04-22,26658,12.0,12,CLOSED
L0000693,C000440,LP005,BR010,2023-11-03,2023-11-05,2023-11-10,949997,12.0,21,ACTIVE
L0000694,C000386,LP003,BR009,2022-07-18,2022-07-26,2022-07-28,2229397,8.5,48,ACTIVE
L0000695,C000959,LP002,BR001,2023-05-22,2023-05-31,2023-06-04,964092,10.5,42,CLOSED
L0000696,C000347,LP005,BR010,2025-11-07,2025-11-17,2025-11-18,645236,12.0,17,ACTIVE
L0000697,C000673,LP003,BR001,2024-07-09,2024-07-19,2024-07-20,3026646,8.5,101,ACTIVE
L0000698,C000051,LP003,BR007,2024-09-29,2024-09-30,2024-10-05,2476683,8.5,61,ACTIVE
L0000699,C000263,LP004,BR002,2022-10-19,2022-10-28,2022-10-29,1397971,16.0,58,DEFAULT
L0000700,C000070,LP003,BR008,2023-09-14,2023-09-23,2023-09-25,4394126,8.5,209,CLOSED
L0000701,C000250,LP001,BR004,2022-07-23,2022-07-28,2022-07-29,151564,14.5,19,CLOSED
L0000702,C000533,LP004,BR004,2024-02-18,2024-02-26,2024-03-01,469777,16.0,32,ACTIVE
L0000703,C000719,LP003,BR001,2022-04-20,2022-04-21,2022-04-24,2891294,8.5,65,ACTIVE
L0000704,C000916,LP005,BR009,2023-05-10,2023-05-15,2023-05-18,666781,12.0,36,ACTIVE
L0000705,C000456,LP001,BR007,2024-05-30,2024-05-31,2024-06-01,438191,14.5,15,DEFAULT
L0000706,C000291,LP001,BR010,2025-11-03,2025-11-06,2025-11-08,461824,14.5,13,ACTIVE
L0000707,C000830,LP002,BR001,2025-07-17,2025-07-26,2025-07-27,248603,10.5,42,ACTIVE
L0000708,C000684,LP003,BR007,2024-07-02,2024-07-12,2024-07-17,3234453,8.5,119,CLOSED
L0000709,C000040,LP001,BR006,2024-04-22,2024-04-28,2024-04-30,458407,14.5,19,ACTIVE
L0000710,C000988,LP004,BR002,2023-01-02,2023-01-06,2023-01-07,597273,16.0,106,ACTIVE
L0000711,C000510,LP002,BR008,2026-07-09,2026-07-13,2026-07-17,562763,10.5,21,ACTIVE
L0000712,C000065,LP002,BR007,2026-07-13,2026-07-23,2026-07-27,213957,10.5,67,CLOSED
L0000713,C000364,LP002,BR003,2024-10-22,2024-10-26,2024-10-31,1054185,10.5,34,ACTIVE
L0000714,C000131,LP004,BR007,2024-05-25,2024-05-31,2024-06-02,1059950,16.0,104,CLOSED
L0000715,C000743,LP002,BR006,2025-05-08,2025-05-14,2025-05-17,524066,10.5,54,CLOSED
L0000716,C000480,LP002,BR010,2023-02-21,2023-02-22,2023-02-27,225098,10.5,47,CLOSED
L0000717,C000295,LP004,BR005,2021-10-01,2021-10-03,2021-10-07,1061709,16.0,65,CLOSED
L0000718,C000547,LP001,BR008,2024-05-16,2024-05-22,2024-05-24,204749,14.5,50,CLOSED
L0000719,C000099,LP004,BR007,2023-10-20,2023-10-30,2023-11-01,1312408,16.0,82,CLOSED
L0000720,C000990,LP003,BR003,2023-08-05,2023-08-07,2023-08-11,4876913,8.5,137,CLOSED
L0000721,C000346,LP001,BR004,2025-06-01,2025-06-11,2025-06-15,488823,14.5,41,ACTIVE
L0000722,C000984,LP003,BR006,2024-01-23,2024-01-24,2024-01-28,2569085,8.5,75,ACTIVE
L0000723,C000972,LP004,BR005,2024-10-06,2024-10-13,2024-10-18,566420,16.0,87,CLOSED
L0000724,C000040,LP002,BR003,2022-11-07,2022-11-17,2022-11-18,976131,10.5,17,ACTIVE
L0000725,C000307,LP001,BR006,2024-07-12,2024-07-20,2024-07-25,67626,14.5,39,DEFAULT
L0000726,C000402,LP003,BR001,2025-10-16,2025-10-23,2025-10-27,1322076,8.5,127,ACTIVE
L0000727,C000380,LP004,BR010,2025-08-24,2025-08-28,2025-08-29,1271232,16.0,108,ACTIVE
L0000728,C000618,LP004,BR010,2025-06-30,2025-07-07,2025-07-09,378317,16.0,57,ACTIVE
L0000729,C000646,LP004,BR006,2024-10-04,2024-10-08,2024-10-09,133407,16.0,73,ACTIVE
L0000730,C000850,LP001,BR010,2024-04-22,2024-04-25,2024-04-29,499798,14.5,48,DEFAULT
L0000731,C000944,LP005,BR001,2025-11-06,2025-11-07,2025-11-11,506288,12.0,36,CLOSED
L0000732,C000766,LP004,BR006,2026-05-26,2026-06-02,2026-06-04,1756453,16.0,59,ACTIVE
L0000733,C000698,LP003,BR003,2022-08-20,2022-08-21,2022-08-22,3728601,8.5,240,ACTIVE
L0000734,C000703,LP003,BR009,2023-03-16,2023-03-25,2023-03-26,2987977,8.5,121,ACTIVE
L0000735,C000739,LP002,BR001,2022-05-28,2022-06-07,2022-06-12,1306343,10.5,38,ACTIVE
L0000736,C000257,LP004,BR009,2024-02-04,2024-02-14,2024-02-17,1643002,16.0,19,DEFAULT
L0000737,C000581,LP003,BR008,2022-11-24,2022-11-30,2022-12-01,1430854,8.5,110,ACTIVE
L0000738,C000555,LP005,BR004,2026-04-16,2026-04-24,2026-04-29,62859,12.0,23,ACTIVE
L0000739,C000543,LP002,BR001,2023-05-19,2023-05-22,2023-05-27,240521,10.5,83,CLOSED
L0000740,C000105,LP002,BR003,2023-12-12,2023-12-15,2023-12-18,600449,10.5,81,ACTIVE
L0000741,C000103,LP001,BR002,2022-05-11,2022-05-19,2022-05-24,418492,14.5,25,CLOSED
L0000742,C000004,LP001,BR002,2022-05-08,2022-05-14,2022-05-17,190172,14.5,44,ACTIVE
L0000743,C000053,LP001,BR007,2021-11-12,2021-11-17,2021-11-18,83223,14.5,35,ACTIVE
L0000744,C000101,LP001,BR009,2026-01-08,2026-01-16,2026-01-20,312904,14.5,45,ACTIVE
L0000745,C000941,LP005,BR005,2021-12-21,2021-12-29,2022-01-03,731257,12.0,29,ACTIVE
L0000746,C000426,LP004,BR002,2025-02-25,2025-03-05,2025-03-10,872057,16.0,114,ACTIVE
L0000747,C000758,LP002,BR006,2023-07-09,2023-07-13,2023-07-17,283099,10.5,22,ACTIVE
L0000748,C000588,LP005,BR001,2022-01-07,2022-01-10,2022-01-13,100685,12.0,15,CLOSED
L0000749,C000884,LP003,BR001,2026-05-26,2026-05-31,2026-06-01,1741128,8.5,139,CLOSED
L0000750,C000301,LP004,BR004,2023-12-04,2023-12-08,2023-12-13,1415493,16.0,14,ACTIVE
L0000751,C000423,LP002,BR010,2026-05-01,2026-05-08,2026-05-13,376881,10.5,72,ACTIVE
L0000752,C000784,LP002,BR009,2026-04-19,2026-04-26,2026-04-30,1452001,10.5,14,ACTIVE
L0000753,C000127,LP003,BR008,2025-09-21,2025-09-25,2025-09-26,684856,8.5,235,CLOSED
L0000754,C000573,LP004,BR007,2022-12-21,2022-12-30,2023-01-02,963380,16.0,86,ACTIVE
L0000755,C000635,LP001,BR010,2024-10-26,2024-11-01,2024-11-05,361090,14.5,54,DEFAULT
L0000756,C000290,LP002,BR007,2025-01-17,2025-01-26,2025-01-30,1060510,10.5,50,DEFAULT
L0000757,C000573,LP003,BR008,2023-08-10,2023-08-13,2023-08-16,1940635,8.5,214,ACTIVE
L0000758,C000976,LP003,BR002,2024-03-08,2024-03-12,2024-03-16,3619742,8.5,85,ACTIVE
L0000759,C000044,LP001,BR006,2022-11-05,2022-11-08,2022-11-11,199098,14.5,41,CLOSED
L0000760,C000410,LP003,BR005,2025-08-29,2025-09-08,2025-09-10,4990561,8.5,85,CLOSED
L0000761,C000071,LP005,BR010,2025-12-20,2025-12-23,2025-12-25,189087,12.0,19,ACTIVE
L0000762,C000053,LP005,BR010,2026-01-18,2026-01-19,2026-01-22,622433,12.0,16,ACTIVE
L0000763,C000975,LP004,BR005,2022-06-24,2022-06-29,2022-07-02,486917,16.0,38,DEFAULT
L0000764,C000041,LP001,BR001,2025-01-30,2025-01-31,2025-02-03,230274,14.5,21,ACTIVE
L0000765,C000866,LP002,BR001,2024-10-20,2024-10-28,2024-11-02,440991,10.5,80,ACTIVE
L0000766,C000797,LP004,BR010,2025-12-24,2025-12-26,2025-12-27,948428,16.0,75,CLOSED
L0000767,C000178,LP005,BR004,2021-10-18,2021-10-26,2021-10-29,183633,12.0,12,DEFAULT
L0000768,C000637,LP005,BR010,2023-09-28,2023-10-07,2023-10-10,698684,12.0,34,ACTIVE
L0000769,C000958,LP001,BR004,2023-02-13,2023-02-21,2023-02-24,445397,14.5,48,CLOSED
L0000770,C000761,LP004,BR003,2026-01-30,2026-02-09,2026-02-13,810272,16.0,100,ACTIVE
L0000771,C000251,LP003,BR004,2022-11-26,2022-12-04,2022-12-05,1669567,8.5,185,DEFAULT
L0000772,C000438,LP002,BR004,2025-07-03,2025-07-05,2025-07-08,152000,10.5,63,DEFAULT
L0000773,C000036,LP004,BR002,2023-01-23,2023-01-27,2023-01-31,849508,16.0,23,ACTIVE
L0000774,C000610,LP005,BR003,2023-03-26,2023-03-27,2023-04-01,692465,12.0,18,DEFAULT
L0000775,C000719,LP002,BR008,2026-07-11,2026-07-20,2026-07-22,682855,10.5,37,ACTIVE
L0000776,C000622,LP003,BR003,2026-07-09,2026-07-11,2026-07-16,4236773,8.5,185,ACTIVE
L0000777,C000497,LP001,BR002,2022-12-14,2022-12-23,2022-12-27,151947,14.5,43,ACTIVE
L0000778,C000474,LP004,BR004,2025-10-27,2025-11-06,2025-11-11,1172810,16.0,19,ACTIVE
L0000779,C000145,LP004,BR002,2024-10-04,2024-10-11,2024-10-13,1601484,16.0,66,ACTIVE
L0000780,C000413,LP005,BR005,2022-01-19,2022-01-26,2022-01-29,32782,12.0,21,ACTIVE
L0000781,C000624,LP005,BR004,2023-07-27,2023-08-02,2023-08-05,487220,12.0,29,ACTIVE
L0000782,C000850,LP003,BR010,2025-11-09,2025-11-13,2025-11-17,3986387,8.5,217,ACTIVE
L0000783,C000475,LP001,BR010,2023-09-06,2023-09-11,2023-09-13,472404,14.5,58,ACTIVE
L0000784,C000368,LP003,BR004,2022-03-30,2022-04-06,2022-04-08,1222074,8.5,48,CLOSED
L0000785,C000643,LP003,BR008,2023-12-16,2023-12-21,2023-12-25,4906544,8.5,97,ACTIVE
L0000786,C000882,LP001,BR004,2024-11-06,2024-11-16,2024-11-20,96372,14.5,12,ACTIVE
L0000787,C000667,LP005,BR004,2023-09-13,2023-09-18,2023-09-22,203388,12.0,29,ACTIVE
L0000788,C000341,LP003,BR008,2022-01-27,2022-02-06,2022-02-08,2171493,8.5,59,ACTIVE
L0000789,C000453,LP003,BR007,2023-06-20,2023-06-25,2023-06-30,4615330,8.5,22,ACTIVE
L0000790,C000291,LP004,BR007,2026-02-11,2026-02-21,2026-02-24,1136203,16.0,83,ACTIVE
L0000791,C000490,LP004,BR006,2024-10-12,2024-10-16,2024-10-17,1759307,16.0,12,CLOSED
L0000792,C000777,LP004,BR006,2025-01-03,2025-01-08,2025-01-11,1443341,16.0,118,ACTIVE
L0000793,C000333,LP001,BR003,2025-09-14,2025-09-16,2025-09-19,268710,14.5,23,ACTIVE
L0000794,C000775,LP003,BR009,2025-07-29,2025-08-02,2025-08-03,1501219,8.5,207,ACTIVE
L0000795,C000867,LP002,BR007,2022-02-07,2022-02-15,2022-02-16,1355966,10.5,58,DEFAULT
L0000796,C000147,LP003,BR008,2022-01-17,2022-01-25,2022-01-30,4158007,8.5,234,ACTIVE
L0000797,C000941,LP001,BR006,2024-06-18,2024-06-26,2024-06-27,245665,14.5,44,DEFAULT
L0000798,C000651,LP005,BR008,2022-08-02,2022-08-03,2022-08-06,190757,12.0,30,ACTIVE
L0000799,C000741,LP003,BR006,2026-02-21,2026-02-24,2026-02-27,4367517,8.5,236,CLOSED
L0000800,C000703,LP004,BR010,2024-01-13,2024-01-19,2024-01-21,210914,16.0,46,ACTIVE
L0000801,C000197,LP001,BR008,2023-12-13,2023-12-20,2023-12-23,75540,14.5,30,ACTIVE
L0000802,C000258,LP002,BR004,2026-05-04,2026-05-13,2026-05-14,1177656,10.5,36,CLOSED
L0000803,C000139,LP004,BR006,2026-07-23,2026-07-25,2026-07-30,1678376,16.0,33,DEFAULT
L0000804,C000358,LP004,BR002,2023-03-10,2023-03-16,2023-03-19,1833971,16.0,120,ACTIVE
L0000805,C000235,LP003,BR002,2024-11-29,2024-12-04,2024-12-07,1303908,8.5,148,DEFAULT
L0000806,C000884,LP004,BR003,2024-12-05,2024-12-11,2024-12-13,127048,16.0,29,DEFAULT
L0000807,C000687,LP002,BR007,2024-10-24,2024-10-29,2024-11-01,1116906,10.5,64,ACTIVE
L0000808,C000123,LP004,BR002,2022-05-15,2022-05-18,2022-05-19,556919,16.0,31,DEFAULT
L0000809,C000350,LP001,BR005,2026-02-07,2026-02-11,2026-02-13,466864,14.5,47,DEFAULT
L0000810,C000965,LP005,BR004,2023-11-06,2023-11-15,2023-11-20,767159,12.0,29,ACTIVE
L0000811,C000947,LP002,BR003,2024-11-28,2024-12-05,2024-12-09,260223,10.5,26,CLOSED
L0000812,C000808,LP003,BR010,2023-08-09,2023-08-10,2023-08-14,3420996,8.5,91,ACTIVE
L0000813,C000137,LP002,BR007,2026-02-06,2026-02-09,2026-02-13,1353360,10.5,78,ACTIVE
L0000814,C000845,LP004,BR002,2025-02-27,2025-03-02,2025-03-05,160313,16.0,107,ACTIVE
L0000815,C000881,LP003,BR004,2024-09-16,2024-09-20,2024-09-22,1694196,8.5,188,CLOSED
L0000816,C000542,LP002,BR005,2024-08-22,2024-08-27,2024-08-29,540068,10.5,28,ACTIVE
L0000817,C000153,LP004,BR008,2025-11-06,2025-11-13,2025-11-14,263022,16.0,14,ACTIVE
L0000818,C000827,LP004,BR010,2025-10-22,2025-10-29,2025-10-30,511777,16.0,25,ACTIVE
L0000819,C000252,LP004,BR010,2021-10-06,2021-10-15,2021-10-20,224288,16.0,72,ACTIVE
L0000820,C000351,LP001,BR003,2025-12-23,2025-12-28,2025-12-29,84732,14.5,31,ACTIVE
L0000821,C000459,LP004,BR007,2022-11-21,2022-11-23,2022-11-24,1362049,16.0,38,DEFAULT
L0000822,C000738,LP002,BR007,2025-06-13,2025-06-17,2025-06-19,837219,10.5,15,ACTIVE
L0000823,C000336,LP002,BR006,2023-02-12,2023-02-15,2023-02-18,1315826,10.5,56,ACTIVE
L0000824,C000567,LP003,BR005,2023-08-31,2023-09-03,2023-09-08,2528554,8.5,141,DEFAULT
L0000825,C000016,LP005,BR006,2022-05-13,2022-05-15,2022-05-16,879398,12.0,30,ACTIVE
L0000826,C000448,LP004,BR007,2026-01-31,2026-02-09,2026-02-11,1601165,16.0,36,ACTIVE
L0000827,C000833,LP005,BR002,2024-02-05,2024-02-08,2024-02-13,24539,12.0,35,ACTIVE
L0000828,C000687,LP001,BR001,2023-07-05,2023-07-09,2023-07-14,496324,14.5,57,ACTIVE
L0000829,C000876,LP003,BR002,2022-12-26,2023-01-01,2023-01-06,2052947,8.5,124,ACTIVE
L0000830,C000758,LP004,BR009,2023-04-19,2023-04-22,2023-04-25,896110,16.0,66,CLOSED
L0000831,C000678,LP005,BR005,2023-01-17,2023-01-26,2023-01-28,447376,12.0,15,ACTIVE
L0000832,C000395,LP005,BR004,2024-10-15,2024-10-17,2024-10-21,135674,12.0,28,CLOSED
L0000833,C000309,LP002,BR008,2022-09-18,2022-09-26,2022-09-29,704548,10.5,83,ACTIVE
L0000834,C000232,LP005,BR005,2023-09-01,2023-09-03,2023-09-06,537695,12.0,15,ACTIVE
L0000835,C000421,LP002,BR006,2025-03-27,2025-04-01,2025-04-05,1359108,10.5,51,ACTIVE
L0000836,C000419,LP005,BR004,2024-07-07,2024-07-11,2024-07-16,447066,12.0,21,ACTIVE
L0000837,C000664,LP003,BR008,2022-09-03,2022-09-07,2022-09-08,4490266,8.5,185,ACTIVE
L0000838,C000075,LP005,BR009,2025-10-21,2025-10-24,2025-10-25,726906,12.0,27,ACTIVE
L0000839,C000023,LP003,BR007,2025-10-12,2025-10-19,2025-10-23,4884409,8.5,180,ACTIVE
L0000840,C000890,LP001,BR007,2025-10-13,2025-10-15,2025-10-17,256994,14.5,37,DEFAULT
L0000841,C000484,LP005,BR008,2023-07-02,2023-07-04,2023-07-06,87853,12.0,23,CLOSED
L0000842,C000578,LP002,BR010,2023-01-29,2023-02-04,2023-02-06,1347723,10.5,63,ACTIVE
L0000843,C000422,LP004,BR001,2025-03-15,2025-03-19,2025-03-23,1620855,16.0,75,ACTIVE
L0000844,C000735,LP001,BR002,2021-11-24,2021-12-04,2021-12-09,193116,14.5,60,ACTIVE
L0000845,C000307,LP005,BR002,2023-10-13,2023-10-19,2023-10-23,719061,12.0,31,ACTIVE
L0000846,C000249,LP003,BR006,2022-01-28,2022-02-05,2022-02-10,2839504,8.5,49,ACTIVE
L0000847,C000597,LP004,BR001,2022-10-18,2022-10-20,2022-10-21,625734,16.0,74,ACTIVE
L0000848,C000135,LP004,BR006,2026-08-02,2026-08-06,2026-08-08,162334,16.0,24,ACTIVE
L0000849,C000864,LP001,BR004,2023-01-29,2023-01-31,2023-02-04,405523,14.5,13,CLOSED
L0000850,C000837,LP005,BR009,2022-11-08,2022-11-15,2022-11-20,732197,12.0,22,CLOSED
L0000851,C000876,LP005,BR002,2026-01-25,2026-01-30,2026-02-04,673506,12.0,15,ACTIVE
L0000852,C000519,LP001,BR006,2022-01-15,2022-01-24,2022-01-28,465619,14.5,41,CLOSED
L0000853,C000964,LP004,BR006,2026-07-29,2026-08-03,2026-08-07,1128129,16.0,76,ACTIVE
L0000854,C000198,LP002,BR008,2022-12-16,2022-12-25,2022-12-28,1233571,10.5,81,ACTIVE
L0000855,C000121,LP001,BR004,2022-03-08,2022-03-09,2022-03-13,112460,14.5,36,ACTIVE
L0000856,C000586,LP002,BR008,2023-02-14,2023-02-20,2023-02-24,1028107,10.5,70,ACTIVE
L0000857,C000669,LP005,BR003,2023-11-27,2023-11-28,2023-11-30,603707,12.0,33,ACTIVE
L0000858,C000037,LP005,BR001,2023-03-29,2023-04-01,2023-04-05,471601,12.0,16,ACTIVE
L0000859,C000444,LP003,BR002,2026-02-07,2026-02-14,2026-02-18,1417562,8.5,157,ACTIVE
L0000860,C000413,LP003,BR001,2025-02-26,2025-03-07,2025-03-12,4441122,8.5,133,DEFAULT
L0000861,C000976,LP002,BR006,2026-07-03,2026-07-06,2026-07-11,216889,10.5,62,ACTIVE
L0000862,C000241,LP003,BR010,2021-11-12,2021-11-20,2021-11-25,3669196,8.5,169,ACTIVE
L0000863,C000221,LP001,BR009,2024-02-13,2024-02-18,2024-02-21,82203,14.5,13,DEFAULT
L0000864,C000407,LP003,BR008,2022-06-09,2022-06-10,2022-06-12,3573670,8.5,101,DEFAULT
L0000865,C000096,LP003,BR008,2023-07-20,2023-07-21,2023-07-24,3692480,8.5,36,ACTIVE
L0000866,C000344,LP002,BR005,2025-07-12,2025-07-18,2025-07-21,963878,10.5,56,ACTIVE
L0000867,C000184,LP002,BR002,2025-09-19,2025-09-23,2025-09-25,592038,10.5,51,DEFAULT
L0000868,C000708,LP003,BR005,2025-10-21,2025-10-23,2025-10-24,3057791,8.5,41,ACTIVE
L0000869,C000419,LP004,BR009,2023-02-27,2023-03-02,2023-03-03,1229141,16.0,53,ACTIVE
L0000870,C000876,LP004,BR005,2023-07-29,2023-08-06,2023-08-10,1291285,16.0,77,ACTIVE
L0000871,C000714,LP005,BR001,2025-03-15,2025-03-20,2025-03-21,749765,12.0,27,DEFAULT
L0000872,C000180,LP004,BR007,2022-12-03,2022-12-04,2022-12-07,892173,16.0,85,ACTIVE
L0000873,C000233,LP002,BR005,2023-04-04,2023-04-10,2023-04-15,304945,10.5,74,ACTIVE
L0000874,C000635,LP004,BR001,2026-01-20,2026-01-24,2026-01-27,1141721,16.0,76,ACTIVE
L0000875,C000325,LP005,BR010,2023-12-16,2023-12-19,2023-12-24,334070,12.0,23,ACTIVE
